"Payment recipients by postcode and payment type, March 2015",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Postcode,ABSTUDY (Living allowance),ABSTUDY (Non-living allowance),Age Pension,Austudy,Carer Allowance,Carer Allowance (Child Health Care Card only),Carer Payment,Double Orphan Pension,Disability Support Pension,Family Tax Benefit A,Family Tax Benefit B,Health Care Card,Low Income Card,Newstart Allowance,Parenting Payment Partnered,Parenting Payment Single,Partner Allowance,Pensioner Concession Card,Commonwealth Seniors Health Card,Sickness Allowance,Special Benefit,Widow Allowance,Widow B Pension,Wife Pension (Partner on Age Pension),Wife Pension (Partner on Disability Support Pension),Youth Allowance (other),Youth Allowance (student and apprentice),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2640,<20,45,"4,015",75,922,33,334,<20,"1,373","2,502","2,072","2,546",614,"1,294",141,498,<20,"6,754",537,<20,<20,31,0,<20,<20,282,571,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2641,<20,31,"2,245",31,514,<20,201,<20,933,"1,398","1,171","1,370",272,779,76,314,<20,"4,014",110,<20,0,<20,0,<20,<20,175,142,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2642,0,<20,448,<20,112,<20,51,0,142,351,261,251,52,100,<20,42,<20,734,77,<20,0,<20,0,0,<20,<20,23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2643,0,<20,539,<20,105,<20,42,0,117,213,167,167,34,88,<20,34,<20,766,32,0,0,<20,0,0,0,<20,<20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2644,0,0,367,0,71,<20,37,0,78,168,138,143,29,78,<20,26,0,546,49,<20,0,<20,0,0,0,<20,<20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2645,0,0,87,<20,<20,0,<20,<20,24,26,<20,22,<20,<20,0,<20,<20,129,<20,0,0,0,0,0,0,<20,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2646,<20,<20,"1,304",<20,213,<20,79,0,244,528,424,439,105,228,22,104,<20,"1,838",132,<20,0,<20,0,<20,<20,36,33,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2647,0,0,512,<20,80,<20,35,0,79,135,99,124,41,60,<20,22,0,668,44,<20,0,<20,0,0,0,<20,<20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2648,<20,<20,431,<20,96,<20,60,0,155,176,157,217,40,138,<20,38,0,742,34,<20,0,<20,0,0,<20,22,<20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2649,0,0,<20,0,0,0,0,0,<20,<20,<20,<20,<20,<20,<20,<20,0,<20,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2650,42,121,"5,873",96,"1,376",99,497,<20,"2,176","4,057","3,404","3,635",826,"1,600",218,897,<20,"10,047",733,<20,<20,22,0,<20,<20,351,"1,130",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2651,0,<20,119,<20,56,0,20,0,73,212,169,111,<20,45,<20,39,0,270,0,0,0,0,0,<20,<20,<20,<20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2652,<20,<20,490,<20,144,<20,48,0,205,366,273,267,49,124,<20,55,0,850,91,<20,0,<20,0,<20,<20,27,<20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2653,0,0,372,<20,96,<20,48,0,100,180,149,133,25,66,<20,33,<20,584,32,<20,0,<20,0,0,0,<20,<20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2655,0,0,188,<20,39,<20,<20,0,56,107,80,74,<20,33,<20,<20,0,291,28,<20,0,<20,0,<20,0,<20,<20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2656,0,<20,205,0,42,<20,<20,0,61,71,51,76,<20,31,<20,<20,0,292,29,0,0,<20,0,<20,0,<20,<20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2658,0,0,252,<20,51,<20,22,0,80,120,89,104,20,42,<20,21,0,394,32,<20,0,<20,0,<20,0,<20,<20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2659,<20,<20,122,0,28,<20,<20,0,33,72,61,61,<20,<20,<20,<20,0,183,21,0,0,0,0,0,0,<20,<20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2660,<20,0,248,<20,58,<20,20,0,65,144,114,103,<20,42,<20,24,<20,381,26,<20,0,<20,0,<20,<20,<20,<20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2661,0,0,0,0,<20,0,0,0,<20,<20,<20,<20,<20,0,<20,0,0,<20,0,0,0,<20,0,0,0,0,<20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2663,<20,<20,570,<20,172,<20,79,0,229,359,310,296,48,144,<20,92,<20,"1,019",47,<20,<20,<20,0,<20,<20,36,<20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2665,0,<20,318,<20,72,<20,37,<20,121,169,122,134,21,69,<20,23,<20,521,69,0,0,<20,0,<20,<20,<20,<20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2666,<20,<20,948,<20,172,<20,76,0,228,415,332,326,66,144,23,72,0,"1,384",107,<20,0,<20,0,<20,<20,28,<20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2668,0,<20,70,0,21,0,<20,0,42,52,45,43,<20,33,<20,<20,<20,147,<20,<20,0,<20,0,0,0,<20,<20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2669,0,<20,176,0,45,<20,22,0,85,127,89,92,20,47,<20,<20,0,325,58,0,0,<20,0,<20,<20,<20,<20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2671,0,<20,607,0,82,<20,29,0,135,256,222,236,49,93,<20,46,0,841,99,<20,0,<20,0,0,<20,<20,<20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2672,<20,<20,201,0,60,0,37,0,98,170,139,134,<20,62,<20,50,0,411,<20,<20,0,<20,0,<20,<20,<20,<20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2675,<20,<20,173,0,25,<20,<20,0,40,113,79,73,<20,38,<20,<20,0,263,20,<20,0,0,0,<20,0,<20,<20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2678,<20,0,0,<20,0,0,0,0,<20,0,0,<20,<20,<20,0,0,0,<20,0,0,0,0,0,0,0,0,47,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2680,<20,50,"2,393",<20,687,<20,277,0,902,"1,967","1,525","1,596",228,727,133,332,<20,"4,215",406,<20,<20,<20,0,<20,<20,153,70,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2681,0,0,185,<20,43,<20,<20,0,47,138,106,93,<20,28,<20,<20,<20,270,28,<20,0,<20,0,<20,0,<20,<20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2682,0,0,<20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,<20,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2692,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,<20,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2695,0,0,0,0,0,0,0,0,0,0,0,0,0,<20,0,0,0,<20,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2700,<20,37,787,<20,220,<20,93,0,259,449,372,355,52,183,24,128,<20,"1,334",82,0,0,<20,0,<20,<20,40,<20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2701,<20,<20,333,<20,66,<20,22,0,81,151,113,109,22,49,<20,20,0,473,57,<20,0,<20,0,0,0,<20,<20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2702,0,<20,152,0,28,<20,<20,0,41,67,57,67,<20,34,<20,<20,0,227,<20,<20,0,<20,0,<20,<20,<20,<20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2703,<20,<20,140,0,34,<20,<20,0,28,84,65,67,<20,33,<20,<20,0,210,<20,0,0,0,0,<20,0,<20,<20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2705,<20,<20,"1,266",<20,332,<20,155,0,458,881,688,682,90,341,51,186,<20,"2,213",164,<20,<20,<20,0,<20,<20,75,22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2706,<20,<20,139,0,60,<20,32,0,73,115,101,93,<20,45,<20,34,0,300,<20,0,0,<20,0,0,<20,<20,<20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2707,0,0,104,<20,27,0,<20,0,26,113,82,83,<20,20,<20,<20,0,163,34,<20,0,<20,0,0,0,<20,<20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2710,<20,<20,"1,570",<20,348,<20,132,<20,556,808,640,713,147,340,43,150,<20,"2,583",169,<20,0,<20,0,<20,<20,61,33,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2711,<20,<20,455,<20,76,<20,37,0,141,247,202,186,40,101,<20,54,<20,737,49,0,0,<20,0,0,<20,<20,<20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2712,0,<20,268,0,32,<20,<20,<20,56,96,70,73,<20,45,<20,<20,<20,382,38,0,0,<20,0,0,0,<20,<20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2713,0,<20,462,<20,88,<20,36,0,130,229,171,206,60,91,<20,30,0,693,75,<20,0,<20,0,<20,<20,<20,<20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2714,0,<20,640,<20,106,<20,43,0,120,174,146,156,54,81,<20,42,<20,890,74,<20,0,<20,0,0,<20,<20,<20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2715,<20,<20,208,0,43,0,20,<20,76,109,88,76,<20,44,<20,<20,0,336,<20,<20,0,<20,0,<20,0,<20,<20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2716,<20,0,186,<20,39,<20,<20,0,46,77,54,79,<20,38,<20,<20,<20,273,24,0,0,<20,0,<20,<20,<20,<20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2717,0,<20,192,0,69,0,44,0,112,143,116,153,26,93,<20,44,<20,436,<20,<20,0,<20,0,0,<20,<20,<20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2720,<20,25,"1,166",<20,223,<20,99,<20,384,614,554,458,76,235,37,125,<20,"1,890",127,<20,0,<20,0,<20,<20,50,23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2721,0,0,33,0,<20,0,<20,0,<20,25,<20,20,<20,<20,0,<20,0,61,<20,0,0,0,0,0,0,<20,<20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2722,0,<20,459,<20,119,<20,47,<20,127,272,215,201,27,104,<20,32,0,715,64,<20,0,<20,0,<20,0,<20,<20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2725,0,0,79,<20,<20,0,<20,0,22,31,24,25,<20,<20,0,<20,<20,122,<20,0,0,0,0,<20,0,<20,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2726,0,0,34,0,<20,0,<20,0,<20,20,<20,<20,<20,<20,<20,<20,0,46,<20,<20,0,0,0,0,0,<20,<20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2727,0,0,32,0,<20,0,<20,0,<20,24,23,21,<20,<20,<20,0,0,55,<20,0,0,0,0,0,<20,0,<20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2729,<20,<20,236,0,41,<20,<20,0,50,125,105,98,<20,48,<20,<20,<20,338,45,<20,0,<20,0,<20,<20,<20,<20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2730,0,0,294,0,51,<20,26,0,80,112,88,103,<20,70,<20,<20,0,438,<20,0,<20,0,0,0,0,<20,<20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2731,<20,<20,"1,235",<20,225,<20,73,0,173,378,292,337,107,159,<20,69,<20,"1,622",105,<20,0,<20,0,<20,<20,<20,30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2732,0,0,381,<20,35,0,<20,0,70,103,74,118,33,54,<20,<20,0,480,47,<20,0,<20,0,0,<20,<20,<20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2733,0,0,90,0,<20,0,<20,0,28,44,32,30,<20,<20,<20,<20,0,135,<20,0,0,0,0,0,0,<20,<20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2734,0,0,22,0,<20,0,<20,0,<20,24,<20,21,<20,<20,0,0,0,32,<20,0,0,0,0,0,0,0,<20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2735,0,0,33,0,<20,0,<20,0,21,33,24,45,20,<20,<20,<20,<20,72,0,0,0,<20,0,<20,0,0,<20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2736,0,0,71,0,<20,0,<20,0,<20,22,<20,20,<20,<20,<20,<20,0,85,<20,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2737,<20,0,55,<20,27,0,<20,0,25,76,54,56,<20,<20,<20,<20,0,110,<20,0,<20,<20,0,0,<20,<20,<20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2738,0,<20,135,0,33,0,<20,0,38,103,80,93,28,29,<20,<20,0,204,29,0,0,<20,0,<20,0,<20,<20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2739,0,<20,147,0,49,<20,20,0,63,129,109,114,20,66,<20,28,0,290,22,0,0,<20,0,<20,0,<20,<20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2745,<20,<20,"1,487",<20,697,80,179,<20,439,"1,892","1,642","1,203",201,402,70,297,<20,"2,602",182,<20,<20,<20,0,<20,<20,44,152,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2747,24,37,"3,196",83,"1,230",113,539,<20,"1,581","3,491","3,081","2,699",494,"1,321",185,781,<20,"6,744",142,<20,<20,48,0,<20,<20,234,355,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2748,0,<20,166,<20,55,<20,<20,0,38,111,90,82,<20,31,<20,<20,0,245,70,0,0,<20,0,0,0,<20,<20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2749,<20,21,939,21,550,38,208,<20,542,"1,423","1,264",960,142,417,55,307,<20,"2,243",68,<20,<20,<20,0,<20,<20,92,103,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2750,<20,41,"5,244",73,"1,288",109,447,<20,"1,654","3,098","2,789","2,635",470,"1,383",148,685,<20,"8,663",316,<20,<20,50,0,<20,<20,233,316,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2751,0,0,<20,0,<20,0,0,0,<20,<20,<20,<20,<20,<20,0,<20,0,<20,0,0,0,0,0,0,0,0,<20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2752,<20,<20,387,<20,121,<20,38,0,93,338,289,209,36,79,<20,62,<20,622,35,<20,0,<20,0,0,0,<20,<20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2753,<20,<20,"1,704",33,464,22,176,0,518,"1,235","1,090",933,182,485,53,218,<20,"2,861",199,<20,<20,24,0,<20,<20,83,184,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2754,<20,<20,642,<20,163,<20,73,0,179,430,379,277,56,120,21,73,<20,"1,051",86,<20,0,<20,0,0,<20,<20,55,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2755,0,0,<20,0,<20,0,0,0,0,<20,<20,<20,0,0,0,0,0,<20,0,0,0,0,0,0,0,0,<20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2756,<20,31,"2,469",45,811,51,299,0,"1,017","2,549","2,207","1,696",281,893,94,498,<20,"4,822",241,<20,<20,33,0,<20,<20,127,186,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2757,0,0,90,0,<20,<20,<20,<20,<20,50,42,38,<20,<20,<20,<20,<20,127,27,<20,0,<20,0,0,0,0,<20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2758,0,<20,712,<20,170,<20,48,0,143,409,342,287,79,109,<20,46,<20,"1,010",130,<20,0,<20,0,<20,0,<20,50,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2759,<20,<20,"1,497",40,752,67,321,<20,631,"2,093","1,829","1,551",300,598,106,373,<20,"3,100",63,<20,<20,22,0,<20,<20,94,224,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2760,<20,55,"3,131",51,"1,212",83,637,<20,"1,490","3,491","3,101","2,830",399,"1,439",237,879,<20,"6,864",94,<20,<20,39,0,22,<20,282,289,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2761,<20,24,"1,491",35,920,111,436,<20,763,"2,986","2,481","2,105",401,782,190,443,<20,"3,520",53,<20,<20,38,0,<20,<20,105,376,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2762,<20,<20,266,<20,73,<20,24,0,71,263,234,171,43,63,<20,32,0,432,68,<20,0,0,0,0,0,<20,21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2763,<20,22,"1,622",46,657,44,236,0,608,"2,377","2,079","1,627",361,594,133,298,<20,"3,103",116,<20,<20,31,0,<20,<20,81,282,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2765,<20,<20,"1,421",26,400,<20,151,0,454,938,790,694,128,373,34,200,0,"2,455",166,<20,<20,<20,0,<20,<20,27,77,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2766,<20,<20,"1,374",23,470,33,233,<20,454,"1,371","1,157","1,041",222,437,85,212,<20,"2,480",54,<20,<20,<20,0,<20,<20,61,193,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2767,<20,41,"1,566",41,838,52,454,<20,"1,005","1,894","1,677","1,558",333,819,103,354,<20,"3,826",71,<20,<20,49,0,<20,<20,99,280,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2768,<20,<20,"1,314",33,469,27,161,<20,375,"1,626","1,416","1,163",294,368,88,131,<20,"2,171",142,<20,20,25,0,<20,<20,30,227,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2769,0,<20,215,<20,136,<20,44,0,96,484,440,304,64,79,29,34,<20,427,27,<20,<20,<20,0,<20,0,<20,58,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2770,51,224,"5,554",118,"3,310",212,"2,079",<20,"3,743","8,028","7,284","6,808",987,"3,627",596,"2,130",<20,"15,349",90,20,42,106,0,40,40,682,753,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2773,<20,<20,583,<20,115,<20,31,0,107,214,224,218,68,72,<20,24,0,778,124,<20,0,<20,0,0,<20,<20,46,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2774,<20,<20,"1,386",25,272,25,83,<20,271,655,609,596,147,249,28,108,<20,"1,978",156,<20,0,<20,0,<20,<20,36,93,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2775,0,0,214,<20,46,0,24,0,86,83,70,81,<20,59,<20,<20,0,374,29,<20,0,<20,0,0,<20,<20,<20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2776,0,<20,432,<20,96,<20,24,0,75,261,231,220,60,77,<20,35,<20,615,39,<20,0,<20,0,<20,0,<20,39,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2777,<20,<20,"2,217",33,378,29,102,<20,377,938,854,858,224,315,39,106,<20,"2,939",220,<20,<20,<20,0,<20,<20,51,139,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2778,0,0,249,<20,56,<20,<20,<20,71,145,141,140,36,59,<20,23,<20,392,27,<20,0,<20,0,0,0,<20,<20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2779,0,<20,534,<20,123,<20,37,0,163,371,345,300,77,130,<20,56,<20,857,35,<20,0,<20,0,0,<20,20,46,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2780,<20,<20,"2,004",54,325,<20,156,<20,956,975,859,"1,115",244,715,68,210,0,"3,590",239,<20,<20,<20,0,<20,<20,73,127,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2781,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,<20,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2782,<20,0,"1,050",<20,137,<20,49,0,228,380,331,356,91,170,25,58,<20,"1,461",148,<20,0,<20,0,<20,<20,<20,44,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2783,<20,<20,340,<20,73,<20,31,<20,115,213,183,206,46,85,<20,37,0,560,24,<20,0,<20,0,<20,<20,<20,<20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2784,0,0,138,<20,27,<20,<20,0,59,97,88,90,28,40,<20,<20,0,242,<20,<20,0,<20,0,0,0,<20,<20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2785,0,<20,750,<20,129,<20,55,0,209,306,247,270,59,156,24,45,0,"1,137",117,<20,0,<20,0,0,<20,<20,<20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2786,0,0,176,<20,34,0,<20,0,67,96,86,95,<20,48,<20,<20,0,289,<20,<20,0,<20,0,<20,<20,<20,<20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2787,<20,<20,598,<20,115,<20,60,<20,190,313,276,246,44,140,<20,66,<20,966,87,<20,<20,<20,0,0,<20,24,<20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2790,<20,<20,"2,578",<20,562,<20,243,0,"1,009","1,037",983,"1,178",174,771,73,287,<20,"4,422",174,<20,<20,21,0,<20,<20,141,69,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2791,0,0,74,0,<20,0,<20,0,<20,21,<20,<20,<20,<20,0,<20,0,98,<20,0,0,0,0,0,0,0,<20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2792,0,0,57,0,<20,0,<20,0,<20,<20,<20,<20,<20,<20,0,<20,0,85,<20,<20,0,0,0,0,0,<20,<20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2793,<20,<20,182,<20,40,0,25,0,90,62,47,71,<20,53,<20,<20,0,318,20,<20,0,<20,0,<20,0,<20,<20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2794,<20,50,"1,864",<20,435,<20,200,<20,681,910,735,851,122,447,59,213,<20,"3,126",210,<20,0,<20,0,<20,<20,103,29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2795,42,85,"4,529",101,"1,063",62,426,0,"1,741","3,011","2,621","2,644",618,"1,160",186,705,<20,"7,875",555,<20,<20,27,0,<20,<20,243,929,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2797,0,0,75,0,20,0,<20,0,22,31,33,35,<20,<20,<20,<20,0,113,<20,0,0,0,0,0,<20,<20,<20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2798,<20,0,169,<20,49,<20,<20,0,36,118,102,87,<20,28,<20,<20,0,247,52,0,0,<20,0,0,0,<20,<20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2799,<20,<20,521,<20,131,<20,53,0,200,340,284,267,40,145,<20,77,0,915,55,<20,0,<20,0,<20,<20,21,23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2800,25,111,"4,924",75,"1,077",62,390,<20,"2,175","3,209","2,817","2,701",528,"1,230",203,803,<20,"8,814",512,<20,<20,28,<20,<20,<20,292,371,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2803,0,0,52,0,<20,0,<20,0,<20,<20,<20,<20,<20,<20,0,<20,0,77,<20,0,0,<20,0,<20,0,<20,<20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2804,0,<20,476,<20,88,<20,34,0,152,206,165,182,37,113,<20,46,<20,737,50,<20,0,<20,0,<20,<20,<20,<20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2805,0,0,73,0,24,0,<20,0,32,42,36,31,<20,<20,<20,<20,0,119,<20,<20,0,<20,0,0,0,0,<20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2806,<20,0,150,0,30,<20,<20,0,35,54,41,40,<20,<20,<20,<20,0,217,<20,0,0,0,0,0,0,<20,<20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2807,0,<20,79,0,26,<20,<20,0,44,29,27,31,<20,<20,<20,<20,<20,154,<20,0,0,0,0,<20,0,<20,<20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2808,0,0,35,0,<20,0,<20,0,<20,<20,<20,<20,<20,<20,<20,0,0,57,0,0,0,0,0,0,<20,<20,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2809,0,0,33,0,<20,0,<20,0,30,<20,<20,<20,<20,<20,<20,<20,0,80,<20,0,0,<20,0,0,0,0,<20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2810,0,<20,630,<20,125,<20,68,0,183,203,157,184,48,94,<20,33,0,949,70,0,0,<20,0,0,<20,<20,<20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2818,0,<20,93,0,26,<20,<20,0,20,69,48,46,<20,23,<20,<20,<20,143,<20,0,0,0,0,0,0,<20,<20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2820,<20,78,"1,120",<20,272,<20,140,0,505,659,569,666,87,431,41,216,<20,"2,138",97,<20,0,<20,0,<20,<20,82,21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2821,<20,55,638,<20,119,<20,45,0,190,444,378,373,39,201,20,126,0,"1,063",86,<20,0,<20,0,<20,<20,43,<20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2823,<20,<20,201,<20,37,<20,<20,0,54,116,94,111,<20,58,<20,36,0,334,26,0,0,<20,0,<20,0,<20,<20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2824,<20,<20,319,0,66,<20,26,0,96,181,144,186,20,136,<20,54,0,539,53,<20,0,<20,0,<20,0,<20,<20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
