"Payment recipients by postcode and payment type, March 2015",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Postcode,ABSTUDY (Living allowance),ABSTUDY (Non-living allowance),Age Pension,Austudy,Carer Allowance,Carer Allowance (Child Health Care Card only),Carer Payment,Double Orphan Pension,Disability Support Pension,Family Tax Benefit A,Family Tax Benefit B,Health Care Card,Low Income Card,Newstart Allowance,Parenting Payment Partnered,Parenting Payment Single,Partner Allowance,Pensioner Concession Card,Commonwealth Seniors Health Card,Sickness Allowance,Special Benefit,Widow Allowance,Widow B Pension,Wife Pension (Partner on Age Pension),Wife Pension (Partner on Disability Support Pension),Youth Allowance (other),Youth Allowance (student and apprentice),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
841,0,<20,55,<20,<20,<20,<20,0,35,66,60,51,<20,31,<20,<20,0,114,<20,<20,0,0,0,0,0,<20,<20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
845,<20,<20,49,0,<20,0,<20,0,53,66,59,93,<20,68,<20,31,0,153,<20,0,0,<20,0,0,0,<20,<20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
846,0,<20,57,<20,<20,0,<20,0,23,29,28,40,<20,28,<20,<20,0,98,0,0,0,0,0,0,0,<20,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
847,0,<20,35,<20,<20,0,<20,0,<20,36,31,45,0,31,<20,<20,0,67,<20,0,0,0,0,0,0,<20,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
850,<20,84,405,<20,108,<20,57,0,546,672,614,730,33,409,82,156,<20,"1,221",20,0,0,<20,0,<20,0,80,<20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
851,0,<20,<20,0,0,0,0,0,<20,20,<20,<20,<20,<20,0,0,0,20,<20,0,0,0,0,0,0,<20,<20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
852,<20,335,225,<20,106,<20,77,0,512,"1,158","1,029","2,007",<20,"1,120",347,214,0,"1,176",<20,<20,0,<20,0,<20,0,237,<20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
853,0,0,0,0,<20,0,<20,0,<20,40,32,<20,<20,<20,<20,0,0,<20,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
854,<20,34,60,0,<20,0,<20,0,58,172,149,376,<20,182,45,25,0,182,<20,<20,0,<20,0,<20,0,59,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
860,<20,42,142,<20,59,<20,36,<20,264,348,330,528,<20,308,66,101,0,580,<20,<20,0,<20,0,<20,0,61,<20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
861,0,0,<20,0,<20,0,<20,0,<20,<20,<20,<20,<20,<20,<20,<20,0,<20,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
862,<20,28,28,0,<20,<20,<20,0,51,149,139,298,<20,202,48,31,0,144,0,0,0,0,0,<20,0,24,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
870,41,118,971,<20,275,<20,144,0,"1,110","1,670","1,521","1,684",117,974,115,410,0,"2,830",96,<20,0,<20,0,<20,<20,146,41,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
871,<20,<20,37,0,<20,0,<20,0,25,56,48,51,<20,26,<20,<20,0,76,<20,0,0,0,0,0,0,<20,<20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
872,70,391,523,0,240,<20,172,<20,"1,172","2,363","2,203","4,574",39,"2,681",719,441,0,"2,690",0,<20,0,<20,0,<20,0,538,<20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
873,<20,<20,<20,0,<20,0,0,0,35,30,29,60,0,41,<20,<20,0,60,0,0,0,0,0,0,0,<20,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
874,0,0,0,0,0,0,0,0,0,<20,<20,<20,0,<20,0,0,0,0,<20,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
875,<20,<20,<20,0,<20,<20,<20,0,22,58,49,53,<20,28,<20,25,0,62,<20,0,0,0,0,0,0,<20,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
880,27,90,89,<20,81,<20,50,<20,251,608,583,934,<20,503,113,102,0,585,<20,<20,0,<20,0,0,0,91,<20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
881,0,<20,<20,0,0,<20,0,0,<20,<20,<20,<20,<20,<20,<20,<20,0,<20,0,0,0,0,0,0,0,<20,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
885,0,<20,<20,0,<20,0,<20,0,<20,21,25,<20,<20,<20,<20,<20,0,<20,<20,<20,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
886,<20,23,<20,0,20,<20,<20,0,40,89,97,129,<20,60,<20,<20,0,85,0,0,0,0,0,0,0,<20,<20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
909,0,0,0,0,0,0,0,0,0,0,0,<20,<20,<20,0,0,0,0,0,0,0,0,0,0,0,0,<20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1022,0,0,<20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,<20,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1023,0,0,0,0,0,0,0,0,0,0,0,<20,0,<20,0,0,0,0,0,0,0,0,0,0,0,0,<20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1025,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,<20,0,0,0,0,0,0,0,<20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
